geneSymbol,diseaseName
SLC6A4,positive
GABRB3,positive
CNTNAP2,positive
EN2,positive
PTEN,positive
NRXN1,positive
NRCAM,positive
NRP2,positive
EXT1,positive
CADPS2,positive
RELN,positive
MECP2,positive
OXTR,positive
HTR2A,positive
NLGN4X,positive
SLC25A12,positive
MET,positive
GRIK2,positive
TPH2,positive
FMR1,positive
ITGB3,positive
BDNF,positive
MAOA,positive
NLGN3,positive
OXT,positive
SHANK3,positive
UBE3A,positive
MTHFR,positive
HLA-DRB1,positive
AVPR1A,positive
HOXA1,positive
ITGA4,positive
AUTS1,positive
FOXP2,positive
ATP10A,positive
ADA,positive
GABRA5,positive
ADRB2,positive
C4B,positive
GLO1,positive
DOCK4,positive
WNT2,positive
AR,positive
COMT,positive
GABRA4,positive
SHANK2,positive
CDH10,positive
DRD3,positive
NLGN1,positive
SEMA5A,positive
NOS2,positive
ASMT,positive
GSTM1,positive
AGAP1,positive
DLX1,positive
DLX2,positive
GRM8,positive
HLA-A,positive
MARK1,positive
APC,positive
DRD1,positive
PTGS2,positive
DISC1,positive
NF1,positive
GAD1,positive
AHI1,positive
HRAS,positive
IMMP2L,positive
PON1,positive
PRKCB,positive
SLC6A8,positive
STX1A,positive
AUTS5,positive
MACROD2,positive
PAX6,positive
PITX1,positive
PRL,positive
PTCHD1,positive
STK39,positive
SYNGAP1,positive
TDO2,positive
ABAT,positive
ASIC2,positive
CACNA1H,positive
CDH9,positive
GPX1,positive
HTR1D,positive
HTR3A,positive
HTR3C,positive
HTR5A,positive
LASP1,positive
MYO1D,positive
NSD1,positive
NTRK2,positive
ROBO3,positive
ROBO4,positive
RPL10,positive
SEZ6L2,positive
SND1,positive
ST8SIA2,positive
TSC1,positive
CYP19A1,positive
DAO,positive
DHCR7,positive
DLGAP2,positive
GABRA1,positive
GABRA2,positive
HOXD11,positive
HTR1B,positive
IGF1,positive
IGF2,positive
MAOB,positive
NPAS2,positive
NTF3,positive
NTF4,positive
PER1,positive
PLD5,positive
POU6F2,positive
PRLR,positive
TAF1C,positive
VWA8,positive
SCT,positive
TSC2,positive
BCL2,positive
CHRNA7,positive
DHFR,positive
EGR2,positive
JMJD1C,positive
REEP3,positive
UBE2H,positive
AQP4,positive
CADM1,positive
CHRNA4,positive
CHRNB2,positive
GJA1,positive
MIF,positive
PECAM1,positive
IL1RAPL1,positive
ADSL,positive
AUTS8,positive
AVP,positive
CNTN4,positive
POMC,positive
GABRB1,positive
GSTP1,positive
IL6,positive
NBEA,positive
RBFOX1,positive
RORA,positive
VLDLR,positive
ADM,positive
C3orf58,positive
CACNA1C,positive
KDM5C,positive
LAMB1,positive
PARK2,positive
PLAUR,positive
VIP,positive
CP,positive
CSMD3,positive
DAB1,positive
DPYD,positive
EGF,positive
FARP2,positive
GABBR1,positive
GABBR2,positive
GRIN2A,positive
HDLBP,positive
MEF2C,positive
MTF1,positive
PCDH10,positive
PDE4A,positive
PDE4B,positive
PIK3CG,positive
RAB39B,positive
ROBO1,positive
ROBO2,positive
SCAMP5,positive
SERPINE1,positive
SHANK1,positive
SLC19A1,positive
SLC40A1,positive
SLC9A9,positive
SNTG2,positive
STXBP6,positive
ACADSB,positive
ASTN2,positive
AUTS11,positive
AUTS12,positive
AUTS13,positive
DEL16P11.2,positive
AUTS3,positive
AUTS6,positive
AUTS7,positive
BTD,positive
CALCA,positive
CAT,positive
CNTN3,positive
FBXO40,positive
GABRA3,positive
GHR,positive
GPR155,positive
GRIA1,positive
GZMB,positive
HTN1,positive
IFNG,positive
IGFBP3,positive
IL10,positive
IL13,positive
IL15,positive
IL1RN,positive
IL2,positive
IL4,positive
IL5,positive
INPP1,positive
JAKMIP1,positive
KCNMA1,positive
LEP,positive
MBD3,positive
MBD4,positive
MCC,positive
MIR106B,positive
MIR23A,positive
PLA2G4A,positive
PRF1,positive
RAB11FIP5,positive
RFWD2,positive
RNF8,positive
SCN7A,positive
SLC1A3,positive
STATH,positive
TCN2,positive
TF,positive
TNFRSF1B,positive
UPB1,positive
XDH,positive
XPC,positive
MAPK1,positive
DLG4,positive
TBX1,positive
GSTM5,positive
GABRG3,positive
TPH1,positive
ARSD,positive
SLC6A3,positive
NLGN4Y,positive
DNTT,positive
DBH,positive
FRAXA,positive
DRD2,positive
STS,positive
PAH,positive
HTR2C,positive
CYP21A2,positive
RAPGEF4,positive
TH,positive
SLC1A1,positive
APOE,positive
PTS,positive
NOSTRIN,positive
SLC25A13,positive
NOS1,positive
ARX,positive
FAM120C,positive
PHF8,positive
WNK3,positive
MBD1,positive
CD38,positive
AUTS2,positive
PHB2,positive
GRPR,positive
MED12,positive
MTR,positive
SCN2A,positive
HLA-B,positive
DRD4,positive
PTPRZ1,positive
OMG,positive
MAPK3,positive
TAS2R1,positive
TNF,positive
CNTNAP5,positive
CARS,positive
GABRG1,positive
HTR1A,positive
HTR7,positive
NTRK3,positive
MTRR,positive
XIRP2,positive
APBA2,positive
DDC,positive
ADORA2A,positive
UPP2,positive
RIMS3,positive
CACNA1G,positive
TAC1,positive
SNRPN,positive
SHMT1,positive
NEUROG1,positive
H2AFY,positive
MKL2,positive
CDH13,positive
KDM4C,positive
SIL1,positive
QDPR,positive
PPP4C,positive
POR,positive
AVPR1B,positive
PCBD1,positive
OPRM1,positive
NTRK1,positive
NGFR,positive
MTNR1B,positive
MTNR1A,positive
MOG,positive
MCM7,positive
MAZ,positive
LHFPL3,positive
LHCGR,positive
LHB,positive
CSRNP3,positive
FEZF1,positive
MFSD6,positive
CCDC148,positive
CUX2,positive
ZNF385B,positive
MDGA2,positive
NGF,positive
LAMB4,positive
KCND2,positive
HTR6,positive
HSD17B4,positive
HSD17B3,positive
HSD17B2,positive
HSD11B1,positive
HOXD13,positive
HOXD12,positive
HIRIP3,positive
GCHFR,positive
GCH1,positive
ALDOA,positive
GABRA6,positive
ALDH3A1,positive
ABCB1,positive
FSHB,positive
ESR2,positive
ESR1,positive
AGRN,positive
EIF1AY,positive
DOC2A,positive
CYP7A1,positive
CYP3A,positive
CYP2D6,positive
CYP1B1,positive
CYP1A1,positive
CYP17A1,positive
CYP11A1,positive
CPA2,positive
TSPAN12,positive
CNR1,positive
CYP11B1,positive
AANAT,positive
CGA,positive
TBL1Y,positive
FMNL2,positive
ARNT2,positive
BZRAP1,positive
TAOK2,positive
CALCRL,positive
OSBPL6,positive
ING3,positive
YWHAZ,positive
YWHAB,positive
WFS1,positive
TRPV1,positive
VIPR1,positive
VGF,positive
VEGFA,positive
TYR,positive
TFPI,positive
SULT2A1,positive
SRD5A2,positive
SRD5A1,positive
SPR,positive
SMO,positive
TSPO,positive
SLC13A1,positive
SHBG,positive
SCP2,positive
HLA-C,positive
FOSB,positive
LDLRAD3,positive
DDX53,positive
DAOA,positive
SLC1A2,positive
SNORD123,positive
PPP2R5C,positive
PCDH19,positive
ENDOU,positive
UTS2R,positive
S100A10,positive
HLA-DRB4,positive
EXOSC6,positive
SLC14A2,positive
SLTM,positive
RNMT,positive
TP53,positive
RAB3A,positive
NPTX2,positive
RYR3,positive
HTC2,positive
C4B_2,positive
C4A,positive
MLPH,positive
CHDS3,positive
SHFM1,positive
GRIK5,positive
UROD,positive
NUFIP2,positive
TNFRSF10A,positive
CSF2,positive
KIAA0319,positive
LAMC2,positive
APELA,positive
CDKL5,positive
HTT,positive
ATG5,positive
PSD,positive
RSS,positive
BHLHE22,positive
ASPM,positive
DYNC1H1,positive
BDNF-AS,positive
PISD,positive
A1CF,positive
ASPA,positive
ASIP,positive
PYCARD,positive
FBXL15,positive
HLA-E,positive
CHP1,positive
SMS,positive
C3,positive
ROPN1L,positive
DCTN3,positive
GGCT,positive
DLX5,positive
POLE4,positive
ABCB6,positive
PAFAH1B1,positive
NPL,positive
DPEP1,positive
POLD4,positive
NEUROD1,positive
PTLS,positive
SCN1A,positive
MBD5,positive
TUBB4B,positive
ACAN,positive
FOXP1,positive
SLC1A7,positive
EIF4E,positive
MPI,positive
ZNF645,positive
COPG2,positive
CD4,positive
CDKN2A,positive
PPL,positive
DLG3,positive
GAD2,positive
MAK16,positive
SLC1A5,positive
SRRM2,positive
SH2D2A,positive
ATP2B2,positive
CEP290,positive
HFE,positive
RBMS3,positive
FRAXE,positive
PCLO,positive
SCN3A,positive
BP1,positive
NIPA1,positive
RSC1A1,positive
MAP2,positive
OPHN1,positive
MBP,positive
ATP2B4,positive
TMEM11,positive
RS1,positive
DLX6,positive
NETO1,positive
CAPS2,positive
NRXN3,positive
CDKN2B,positive
BP2,positive
POTEF,positive
METAP2,positive
ANKRD11,positive
PNO1,positive
SUB1,positive
SCAP,positive
PVALB,positive
NCAM1,positive
IGLV2-8,positive
BCKDK,positive
