geneSymbol,diseaseName
BDNF,positive
SLC6A4,positive
S100B,positive
COMT,positive
HTR2A,positive
CACNA1C,positive
ANK3,positive
GSK3B,positive
NDUFV2,positive
DRD1,positive
MTHFR,positive
NR3C1,positive
TENM4,positive
NTRK2,positive
RELN,positive
SP4,positive
SNAP25,positive
ADRBK2,positive
INS,positive
DRD5,positive
PDE4B,positive
PVALB,positive
AKR1C4,positive
NTNG1,positive
NTNG2,positive
NTRK1,positive
SERPINA1,positive
GRIK2,positive
POMC,positive
TACR1,positive
CPLX1,positive
CPLX2,positive
GSK3A,positive
SLC5A3,positive
TAC1,positive
TSHB,positive
MAOA,positive
DAOA,positive
NRG1,positive
PDLIM5,positive
TPH2,positive
DRD3,positive
DTNBP1,positive
SLC6A3,positive
HTR2C,positive
DISC1,positive
GABRA5,positive
CLOCK,positive
DGKH,positive
NR1D1,positive
DRD2,positive
TH,positive
P2RX7,positive
PALB2,positive
SYNE1,positive
ARNTL,positive
DPP10,positive
TDRD9,positive
LAMP3,positive
XBP1,positive
CCL2,positive
DRD4,positive
TRPM2,positive
GRIN2B,positive
NAPG,positive
GRIN1,positive
ESR1,positive
PER3,positive
DFNB31,positive
RASGRP1,positive
GRIK4,positive
CMTM8,positive
CDC25B,positive
LMAN2L,positive
C1orf87,positive
NCAM1,positive
RFX4,positive
ALOX12,positive
TPH1,positive
GNAL,positive
ACE,positive
KCNN3,positive
GABRA3,positive
GRIA1,positive
ADCYAP1,positive
CSNK1E,positive
CHRNA7,positive
IMPA2,positive
GABRB1,positive
FYN,positive
RGS4,positive
PLCG1,positive
HTR4,positive
CHMP1B,positive
ATP1A3,positive
FAT1,positive
SORCS2,positive
MPPE1,positive
RORA,positive
DBP,positive
CRY2,positive
CRY1,positive
TIMELESS,positive
BHLHE40,positive
GNB3,positive
C15orf53,positive
RBFOX1,positive
PER1,positive
ARNTL2,positive
BHLHE41,positive
RNPEPL1,positive
SLC35F4,positive
SGOL1,positive
THOC1,positive
RPL23P3,positive
HSPD1P6,positive
SLC18A1,positive
SLC18A2,positive
DAO,positive
PCNT,positive
ATF4,positive
IL1B,positive
DUSP6,positive
TAAR6,positive
ATF5,positive
DSCAM,positive
DOCK9,positive
GAD1,positive
DAOA-AS1,positive
ADCY9,positive
CIT,positive
TNF,positive
HTR1B,positive
PPP1R1B,positive
GRIN2A,positive
GRM3,positive
AKT1,positive
BDNF-AS,positive
INPP1,positive
NOS1,positive
NCAN,positive
ZNF804A,positive
GPR50,positive
CRH,positive
SYNJ1,positive
CUX2,positive
PIP4K2A,positive
IL1RN,positive
HTR5A,positive
DPYSL2,positive
PBRM1,positive
FKBP5,positive
ITIH3,positive
DNTT,positive
ADORA1,positive
PENK,positive
NCOR2,positive
NOS3,positive
PPARD,positive
ATP1A2,positive
ATP1A1,positive
MTR,positive
MTHFD1,positive
NALCN,positive
ITIH1,positive
HSPA4,positive
GRIA2,positive
GABRG1,positive
GABRB3,positive
GABRB2,positive
GABRA4,positive
GABRA1,positive
MCHR2,positive
PI4K2B,positive
GABRR3,positive
SLC39A3,positive
CAMK2A,positive
SLITRK2,positive
YWHAH,positive
VAPA,positive
NEK4,positive
SPR,positive
SCN8A,positive
RORB,positive
NPAS2,positive
CSNK1D,positive
NPAS3,positive
PDE10A,positive
AGT,positive
VAMP7,positive
SSTR5,positive
PI4KA,positive
NTS,positive
HTR3A,positive
TRNAP1,positive
CAMKK2,positive
TFAP2B,positive
QDPR,positive
PTPRG,positive
B3GALT5,positive
PLCG2,positive
NCKAP5,positive
BTBD16,positive
ND5,positive
ND2,positive
GABBR2,positive
KCNJ6,positive
HTR3B,positive
GRM7,positive
GRM4,positive
GRIN2C,positive
GRIN2D,positive
GPR78,positive
GABRR2,positive
GABRR1,positive
GABRP,positive
GABRG3,positive
GABRG2,positive
GABRE,positive
GABRA6,positive
GABRA2,positive
FZD2,positive
GNL3,positive
DIO2,positive
DPY19L3,positive
CENPC,positive
NXN,positive
CDH12,positive
JAM3,positive
KIF13A,positive
GABRQ,positive
AUTS2,positive
CACNG2,positive
WNT7A,positive
WNT2B,positive
VAMP3,positive
VAMP2,positive
TCF7L1,positive
STK24,positive
SST,positive
BSN,positive
SLC22A6,positive
ROR1,positive
RGS5,positive
CTNNA2,positive
DCTN5,positive
KIT,positive
MCTP1,positive
NDUFAB1,positive
PKIA,positive
VWA8,positive
THSD7A,positive
AKTIP,positive
HMGXB4,positive
GUCY1B2,positive
FBN1,positive
CNTNAP5,positive
CAPN6,positive
DLEU2,positive
VIP,positive
TRDN,positive
TOM1,positive
TBCC,positive
GARNL3,positive
PRSS3,positive
TMCO5A,positive
ZNF385D,positive
BRD7P1,positive
PPIAP7,positive
SVEP1,positive
SIAE,positive
ARNT2,positive
CRBN,positive
ZMIZ1,positive
CTSF,positive
ATP8B3,positive
REG3A,positive
KIAA1211L,positive
PDGFRA,positive
RNU7-82P,positive
CYCSP3,positive
RNU7-21P,positive
TLE3,positive
PHB,positive
KIAA0355,positive
DMTF1,positive
RPS15AP14,positive
FAT4,positive
RPL34P26,positive
SP8,positive
C15orf32,positive
ADM,positive
HLA-B,positive
MSI2,positive
RPL19P8,positive
TLE4,positive
HSP90AA2,positive
TOX3,positive
ZNF490,positive
LPIN1,positive
TMEM182,positive
RPL26P25,positive
GPR65,positive
ADAMTS14,positive
RPL10AP3,positive
FAM126A,positive
CGNL1,positive
PRKAG2,positive
MGAT4A,positive
HNRNPC,positive
NUS1P2,positive
CD276,positive
GRIK5,positive
PARD6B,positive
CTSH,positive
C11orf80,positive
CACNB3,positive
RPS15AP15,positive
FOXO6,positive
YWHAQP5,positive
RASIP1,positive
RPS17P8,positive
MAD1L1,positive
SLC45A4,positive
PPM1M,positive
RPL23AP39,positive
RPLP0P5,positive
INTS7,positive
FBLN1,positive
MDM1,positive
LDB2,positive
GPM6A,positive
VENTXP2,positive
KCNS3,positive
RPS6P22,positive
BRWD1,positive
ARIH2P1,positive
RPL18P8,positive
WSCD2,positive
IGFBP2,positive
SYNGR1,positive
MC5R,positive
HSPA5,positive
SLC6A2,positive
CREB1,positive
TSNAX,positive
HSP90B1,positive
XBP1P1,positive
CTLA4,positive
GFAP,positive
DNAJB1,positive
BPI,positive
SYN3,positive
OTX2,positive
GCH1,positive
LARS2,positive
PER2,positive
CRHBP,positive
LMO3,positive
MTRR,positive
CRP,positive
TRPV6,positive
PCDHA1,positive
GRIK1,positive
OPN5,positive
NOS1AP,positive
PRNP,positive
AMD1,positive
UTS2R,positive
SLC14A2,positive
DEFB1,positive
DEFB4A,positive
DEFB4B,positive
ASCC1,positive
TDO2,positive
CHRFAM7A,positive
PGC,positive
NFKB1,positive
BP1,positive
CD40,positive
ARHGEF7,positive
DLX4,positive
EIF4EBP1,positive
NPL,positive
CLU,positive
EP300,positive
WFS1,positive
PRRT2,positive
PFKL,positive
NOTCH4,positive
DYT10,positive
MAPK1,positive
EPHB2,positive
NTF3,positive
HLA-E,positive
HTR1A,positive
ACAD8,positive
DBH,positive
ARSD,positive
BRD1,positive
UBL4A,positive
ADCY8,positive
G6PD,positive
PTPN5,positive
ANKK1,positive
NR4A2,positive
KIAA0319,positive
HEXA,positive
TXNRD1,positive
APOE,positive
HRAS,positive
ERDA1,positive
HSD17B6,positive
MMP9,positive
PRODH,positive
PLA2G1B,positive
EXOSC6,positive
MZB1,positive
NRAS,positive
RPS27A,positive
BAG1,positive
IGF1,positive
CRHR1,positive
UBC,positive
NOS2,positive
HLA-DRB4,positive
HTC2,positive
THOP1,positive
TBPL1,positive
PSEN2,positive
ATF3,positive
LINC00273,positive
CDKN2A,positive
CA3,positive
HTR1F,positive
SLC17A7,positive
IK,positive
BHLHE22,positive
REM1,positive
TGM2,positive
LXN,positive
DYRK3,positive
ASPA,positive
DAND5,positive
IL1A,positive
NANOS1,positive
IMPA1,positive
PDYN,positive
ENDOU,positive
DDC,positive
CCK,positive
TUBB4B,positive
RASSF7,positive
SIRT1,positive
CNR1,positive
ATD,positive
SP1,positive
PHB2,positive
ADRA1D,positive
SLC12A6,positive
TNFAIP1,positive
SLC1A2,positive
CFP,positive
DYNC1H1,positive
ROPN1L,positive
TYRP1,positive
CALCA,positive
GPRIN1,positive
CLEC10A,positive
HCAR3,positive
ALDH2,positive
ASPM,positive
S100A10,positive
FMR1,positive
PSG1,positive
F9,positive
ATM,positive
FAAH,positive
ITIH4,positive
MAOB,positive
TCN1,positive
MCHR1,positive
DNMT1,positive
SOD2,positive
EGR3,positive
ATG5,positive
NEUROD1,positive
CA2,positive
CHP1,positive
ITPR1,positive
YWHAE,positive
MLC1,positive
NDOR1,positive
MIR137,positive
ARTN,positive
FER,positive
SNRNP70,positive
ND1,positive
TYR,positive
ST3GAL1,positive
C3,positive
ASIP,positive
HCAR2,positive
DCTN3,positive
MS,positive
NR3C2,positive
MC2R,positive
POLG,positive
FABP7,positive
ABCA1,positive
EGR2,positive
BP2,positive
NDUFB3,positive
A1CF,positive
BCR,positive
MYL4,positive
PROKR2,positive
OPRK1,positive
HDAC1,positive
RABGEF1,positive
C9orf72,positive
LRP2,positive
SCZD10,positive
TARP,positive
CD4,positive
ADCY1,positive
RASGRF1,positive
UHMK1,positive
ABCA13,positive
CACNA2D4,positive
ADCYAP1R1,positive
AVPR1A,positive
NCS1,positive
P2RX4,positive
SOS2,positive
MDGA1,positive
PHOBS,positive
ERBB4,positive
ARRB2,positive
ST8SIA2,positive
P2RY1,positive
ELOVL5,positive
ELK3,positive
GCLC,positive
HSD17B4,positive
TRPC3,positive
CA8,positive
ASTN2,positive
PEX19,positive
NRXN1,positive
MFGE8,positive
TGFB1,positive
DUSP2,positive
ASIC2,positive
NLGN1,positive
GAP43,positive
NRGN,positive
MCF2L,positive
FLNB,positive
PGAM1,positive
P2RX5,positive
AHI1,positive
NEDD4,positive
FOXP3,positive
ASMT,positive
MST1,positive
IL2RA,positive
GPX3,positive
KLF6,positive
CNTN6,positive
AKT2,positive
SBNO2,positive
MAP3K8,positive
CASP8,positive
PCDHA@,positive
QPCT,positive
USP46,positive
PSMG1,positive
HLA-G,positive
PDE9A,positive
FRAXA,positive
EBPL,positive
PCDHA4,positive
SEC24C,positive
ABCB1,positive
NR4A3,positive
TBC1D9,positive
GCLM,positive
P2RX1,positive
LMLN,positive
NRTN,positive
SLC22A5,positive
COL4A2,positive
PDLIM3,positive
POU3F2,positive
MAPK3,positive
PPP2R4,positive
GLUL,positive
PREP,positive
TMPRSS13,positive
GC,positive
AVP,positive
GRN,positive
FADS1,positive
ARFGEF2,positive
COL4A1,positive
SOS1,positive
GRIN3A,positive
TREM1,positive
PLSCR4,positive
GDNF,positive
PSPN,positive
NDUFV3,positive
CTNND2,positive
CNTN4,positive
WDR4,positive
VGF,positive
FADS2,positive
KCNQ3,positive
RPGRIP1L,positive
ISG20,positive
RAPGEF5,positive
SCD,positive
XG,positive
BCL2,positive
MSMB,positive
TERF2IP,positive
RYR2,positive
AOC1,positive
FEV,positive
REST,positive
RAP1A,positive
EMX2,positive
SRRT,positive
P2RX2,positive
NTF4,positive
CHL1,positive
OR2M7,positive
P2RX3,positive
P2RY2,positive
