geneSymbol,diseaseName
DISC1,positive
COMT,positive
NRG1,positive
SLC6A3,positive
BDNF,positive
DRD2,positive
DTNBP1,positive
AKT1,positive
DRD3,positive
DAOA,positive
HTR2A,positive
NOS1,positive
NRXN1,positive
MTHFR,positive
RGS4,positive
SLC6A4,positive
CPLX2,positive
DRD4,positive
PLCB1,positive
DAO,positive
GRM3,positive
TNF,positive
APOE,positive
RELN,positive
CNR1,positive
GAD1,positive
TPH1,positive
GRIN2B,positive
DRD1,positive
PRODH,positive
GABRB2,positive
TP53,positive
IL1B,positive
ZNF804A,positive
PDE4B,positive
TAAR6,positive
HTR6,positive
GSK3B,positive
NTF3,positive
PLXNA2,positive
RTN4,positive
AHI1,positive
CHI3L1,positive
RTN4R,positive
HTR7,positive
PCM1,positive
CLINT1,positive
GAD2,positive
SYN2,positive
HLA-DRB1,positive
MAOB,positive
NTNG1,positive
NRGN,positive
NDUFV2,positive
NRG3,positive
APOL1,positive
CHL1,positive
GRM2,positive
DGCR2,positive
HRH1,positive
IL6,positive
DLG1,positive
GRIK5,positive
HP,positive
NR3C1,positive
PVALB,positive
NTSR1,positive
GRIN2D,positive
APOL2,positive
GSK3A,positive
APOL4,positive
CCL2,positive
IL6R,positive
CAMK2B,positive
SELENBP1,positive
HINT1,positive
PGBD1,positive
PIK3CB,positive
CNTNAP2,positive
SYP,positive
RGS9,positive
NTNG2,positive
FGFR1,positive
NKAPL,positive
PAK2,positive
TSPAN18,positive
GABRA6,positive
MET,positive
TAC1,positive
GRIK2,positive
HCAR2,positive
DISC2,positive
PHB,positive
CPLX1,positive
NTRK1,positive
SLC6A1,positive
MIR137,positive
SP4,positive
VIPR2,positive
OXTR,positive
SCZD13,positive
SDF4,positive
ZKSCAN4,positive
BTG1,positive
CP,positive
HNRNPA3,positive
IL2RA,positive
ND4,positive
SCZD1,positive
SCZD10,positive
SCZD2,positive
SRSF1,positive
THBS1,positive
ACOT6,positive
ADAMTS3,positive
ADCY7,positive
ALS2CL,positive
AVP,positive
CASP4,positive
CCDC108,positive
CCDC137,positive
CELF2,positive
CHD4,positive
COL3A1,positive
DPYD,positive
EDEM2,positive
EIF5,positive
ESAM,positive
FAM3D,positive
FASTKD5,positive
GABRD,positive
GIF,positive
GPR115,positive
GPR153,positive
INPP5A,positive
KDM2B,positive
KDR,positive
KLF12,positive
KPNA1,positive
LAMA1,positive
LAMA2,positive
LGR4,positive
LRP1,positive
MAGEC1,positive
MTOR,positive
NPRL2,positive
NRIP1,positive
OR4C46,positive
PAG1,positive
PITPNM1,positive
PLCL2,positive
PML,positive
RB1CC1,positive
RGS12,positive
SAP30BP,positive
SBNO1,positive
SCZD11,positive
SCZD12,positive
SCZD14,positive
SCZD3,positive
SCZD6,positive
SCZD7,positive
SCZD8,positive
SLC26A7,positive
SLC26A8,positive
SPATA5,positive
TEKT5,positive
TRAK1,positive
TRRAP,positive
UGT1A3,positive
VPS35,positive
VPS39,positive
WDR11,positive
ZNF480,positive
ZNF530,positive
ZNF565,positive
GRIN1,positive
NR4A2,positive
SNAP25,positive
SRR,positive
PTGS2,positive
MAP6,positive
LRRTM1,positive
PPP3R1,positive
MDK,positive
ZIC2,positive
TAAR1,positive
MAP2K7,positive
SRGAP3,positive
SYNGAP1,positive
AVPR1A,positive
CTSC,positive
CHST3,positive
PPM1G,positive
NOTCH4,positive
CYP2D6,positive
CHRNA7,positive
HTR2C,positive
KCNN3,positive
MAOA,positive
TH,positive
NOS1AP,positive
CYP1A2,positive
IL10,positive
PLA2G4A,positive
PPP3CC,positive
ERBB4,positive
DBH,positive
CCKAR,positive
PIP4K2A,positive
GRIK3,positive
DRD5,positive
CNP,positive
GNB3,positive
FEZ1,positive
DAOA-AS1,positive
FZD3,positive
ACE,positive
SYN3,positive
ZDHHC8,positive
ESR1,positive
GRIN2A,positive
HLA-DQB1,positive
PPP1R1B,positive
FXYD6,positive
CHRFAM7A,positive
GRIA4,positive
SOD2,positive
HTR1A,positive
TCF4,positive
NFKB1,positive
XBP1,positive
GCLM,positive
DPYSL2,positive
ABCB1,positive
MAG,positive
NPY,positive
ACSL6,positive
NDEL1,positive
IL3RA,positive
HTR1B,positive
GSTM1,positive
CHGB,positive
CNTF,positive
SIGMAR1,positive
CLDN5,positive
EGR3,positive
MED12,positive
GRIK4,positive
TF,positive
GDNF,positive
FOXP2,positive
YWHAH,positive
GRM7,positive
CSF2RA,positive
CD40,positive
ASCC1,positive
ARHGEF7,positive
DNTT,positive
OLIG2,positive
UFD1L,positive
CHRNA4,positive
CHRNB2,positive
SYNGR1,positive
PDLIM5,positive
ERBB3,positive
SLC6A9,positive
IPO5,positive
UHMK1,positive
PICK1,positive
DLG4,positive
HTR3A,positive
PRNP,positive
RAPGEF6,positive
LTA,positive
SLC18A2,positive
HLA-A,positive
GSTT1,positive
NDE1,positive
ATXN1,positive
HSPA1B,positive
NTRK2,positive
HSPA1L,positive
IL2,positive
HTR4,positive
SOX10,positive
S100B,positive
DRP2,positive
PLA2G7,positive
IL4,positive
RHD,positive
SLC17A7,positive
ST8SIA2,positive
HSPA1A,positive
GRID1,positive
CLOCK,positive
NQO1,positive
ANKK1,positive
MED15,positive
TNXB,positive
KMO,positive
GRIA2,positive
CHRM1,positive
CCK,positive
JARID2,positive
CDC42SE2,positive
CYP3A5,positive
RGS2,positive
ANK3,positive
EP300,positive
TBX1,positive
NEUROG1,positive
ATF4,positive
ADSS,positive
IL1A,positive
KPNA3,positive
TSNAX,positive
MBP,positive
EGF,positive
CHGA,positive
GFAP,positive
GRM5,positive
IL3,positive
IL1RN,positive
HTR3B,positive
SLC1A1,positive
CACNA1C,positive
GSTP1,positive
PLA2G6,positive
PDYN,positive
PAFAH1B1,positive
DDC,positive
SLC6A2,positive
UTS2R,positive
SLC14A2,positive
GABRG2,positive
GABRA1,positive
GABBR1,positive
PIK3C3,positive
KCNH2,positive
GNB1L,positive
PCNT,positive
EGR2,positive
NPAS3,positive
ADCYAP1,positive
QKI,positive
ATN1,positive
CTLA4,positive
PTPRZ1,positive
MAPK14,positive
PI4KA,positive
CSF2RB,positive
TNFRSF1B,positive
BDNF-AS,positive
SLC1A3,positive
CALM1,positive
GRM4,positive
PON1,positive
HRH2,positive
NOTCH3,positive
PRSS16,positive
PRKCA,positive
MYH9,positive
MSRA,positive
GSTT2,positive
CYP3A4,positive
GRIA1,positive
GPX1,positive
HLA-B,positive
ALDH3B1,positive
PLA2G4D,positive
NOTCH2,positive
JAG2,positive
PPARG,positive
NRP1,positive
MEGF10,positive
ITIH4,positive
TXNDC5,positive
DCDC2,positive
SHMT1,positive
ACSM1,positive
APOD,positive
LEP,positive
SLC18A1,positive
PLA2G1B,positive
DMPK,positive
HLA-DQA1,positive
SLC24A5,positive
FGF1,positive
DNMT3B,positive
FLYWCH1P1,positive
HLA-DRB4,positive
CSF2,positive
ATM,positive
OPRM1,positive
NCAM1,positive
RBM45,positive
PCDHA@,positive
TCF7L2,positive
NQO2,positive
GJA8,positive
GNAS,positive
SLC1A6,positive
SLC25A27,positive
UCP2,positive
DDR1,positive
SLC25A14,positive
APBA2,positive
SLC6A5,positive
SLC1A5,positive
SLC1A4,positive
PEMT,positive
PAWR,positive
MYO9B,positive
HCRTR1,positive
GRIA3,positive
VSNL1,positive
DNMT1,positive
SLC1A2,positive
HLA-E,positive
L1CAM,positive
ICAM1,positive
DKK4,positive
IL10RA,positive
MICB,positive
MPZL1,positive
TGFBR2,positive
CTNND2,positive
CHRM5,positive
NPTN,positive
KLF5,positive
PNPO,positive
CCR5,positive
RGS5,positive
TPH2,positive
LAMC2,positive
ADRA1D,positive
PPT1,positive
MAP1A,positive
BSN,positive
GPM6A,positive
SPRY4,positive
DGCR6,positive
MAP2,positive
PPP1R9B,positive
NEFL,positive
HMBS,positive
GLUL,positive
ADRA1A,positive
CHP1,positive
CHPT1,positive
DHDDS,positive
MOG,positive
ADM,positive
ALDOC,positive
GABRB3,positive
NTS,positive
TNR,positive
GCLC,positive
YWHAZ,positive
KIAA0319,positive
HOMER1,positive
APOA1,positive
HK1,positive
SLC9A3R1,positive
PEBP1,positive
SIRPB1,positive
HSPA8,positive
UQCRC1,positive
UBE2N,positive
4-Sep,positive
ERMN,positive
CRYM,positive
PLA2G2A,positive
MYT1L,positive
MMP9,positive
ARVCF,positive
ADORA2A,positive
MLC1,positive
AR,positive
IL2RB,positive
ABCA1,positive
ADRA2A,positive
ASPM,positive
SULT4A1,positive
BRD1,positive
SLC12A2,positive
SLCO6A1,positive
RET,positive
PIK3CA,positive
NSF,positive
SLC17A6,positive
NEUROD1,positive
HAL,positive
TBP,positive
PPP2R2B,positive
HTR5A,positive
KAT5,positive
CHAT,positive
PDE7B,positive
PAH,positive
NTRK3,positive
HTR1D,positive
FGFR2,positive
CYP2C19,positive
CACNG2,positive
TTR,positive
EGR4,positive
TACR3,positive
PLP1,positive
TUBB4B,positive
GABRA5,positive
FXN,positive
CYP2E1,positive
TSPO,positive
SNAP29,positive
IMPA2,positive
AQP4,positive
FRAXA,positive
ATXN8OS,positive
DGCR14,positive
BLOC1S5,positive
ASCL1,positive
P2RX7,positive
NRXN3,positive
ARRB2,positive
LPL,positive
HIST1H2BJ,positive
GFRA2,positive
ALDH1A1,positive
FLNB,positive
FAAH,positive
ENO2,positive
ADRB3,positive
HTR3E,positive
HTR3D,positive
HTR3C,positive
CRHR1,positive
CRHBP,positive
CRH,positive
MDGA1,positive
RASD2,positive
HOMER2,positive
ASTN2,positive
GRIN3A,positive
NELFCD,positive
TGM2,positive
SAT1,positive
VRK2,positive
CARTPT,positive
IL9,positive
HDAC3,positive
CHRNA5,positive
CDKN2A,positive
HDAC4,positive
CACNA1B,positive
CSMD1,positive
POMC,positive
INS,positive
GRM8,positive
DARC,positive
DCC,positive
CACNA1A,positive
ALDH3A1,positive
ADRA2C,positive
TFAP2A,positive
RXRB,positive
PTGS1,positive
PLA2G4B,positive
PAX6,positive
IL1R1,positive
ZNF74,positive
ST8SIA4,positive
PLA2G4C,positive
HTT,positive
ALK,positive
FYN,positive
GH1,positive
KIF2A,positive
TCP1,positive
PGP,positive
NUMBL,positive
PSEN1,positive
POU3F2,positive
PDE4D,positive
PCK1,positive
PAK3,positive
NR3C2,positive
ATF5,positive
MC2R,positive
LIF,positive
EIF3D,positive
ASTN1,positive
ITIH1,positive
IL12B,positive
AP3M1,positive
TAP2,positive
TAP1,positive
ALDH1A3,positive
FMO3,positive
FBP1,positive
CTXN3,positive
TNIK,positive
DLX1,positive
ADORA1,positive
CYP26A1,positive
MCTP2,positive
CSPG5,positive
RSRC1,positive
CRHR2,positive
CNR2,positive
ARHGAP18,positive
OFCC1,positive
CYP26B1,positive
CYP26C1,positive
PADI4,positive
PADI2,positive
GHRL,positive
TRAF3IP1,positive
CD48,positive
CBS,positive
ALDH1A2,positive
ADIPOQ,positive
FBXL21,positive
GSTO1,positive
TNFRSF1A,positive
TAPBP,positive
ACLY,positive
SREBF2,positive
SREBF1,positive
BMP6,positive
SEMA3D,positive
RUNX1,positive
PLAA,positive
PITX3,positive
PEA15,positive
NOS3,positive
ATF2,positive
LMX1B,positive
LMX1A,positive
MIR30E,positive
MIR30B,positive
KCNJ10,positive
KCNH1,positive
CABIN1,positive
MAPT,positive
GLS,positive
AKT2,positive
FASN,positive
EGR1,positive
EFNB2,positive
ESR2,positive
DHFR,positive
DYM,positive
CLU,positive
CHRNA3,positive
CHRM2,positive
NRN1,positive
GAS2L1,positive
APOL5,positive
ENTPD4,positive
SRD5A1,positive
RIT2,positive
XRCC1,positive
TLR4,positive
SDCCAG8,positive
SOD1,positive
SP1,positive
PGPEP1,positive
NANOS1,positive
GPRIN1,positive
GABRP,positive
ATXN3,positive
IGF1R,positive
IGFBP3,positive
NRG2,positive
IRS1,positive
PTGFRN,positive
BAP1,positive
PRKAR2A,positive
BAG3,positive
PPARD,positive
PLXNB1,positive
PIP5K1B,positive
PHGDH,positive
PCDHB11,positive
PCDHA3,positive
PCDH12,positive
PAICS,positive
ATP2B2,positive
NUDT6,positive
NRCAM,positive
NOVA1,positive
NFKBIL1,positive
NEFH,positive
MST1R,positive
MAPKAPK3,positive
MAP4,positive
MAP1B,positive
LIPF,positive
RPA1,positive
SHISA5,positive
TUBA1A,positive
RPGRIP1L,positive
ATP6,positive
PNPLA8,positive
SETD2,positive
LAMB2,positive
KCNH5,positive
ITGA3,positive
IMPDH2,positive
IL5,positive
AP3M2,positive
AP3B2,positive
AP3D1,positive
AP3B1,positive
HS3ST2,positive
HRH3,positive
HIST1H2AG,positive
AMT,positive
GPC1,positive
GNAI2,positive
ABCA7,positive
ENPP1,positive
NBEAL2,positive
AJAP1,positive
GNL3,positive
NTAN1,positive
FNIP1,positive
XKR4,positive
CAMKV,positive
CCDC60,positive
NUDT9P1,positive
DAG1,positive
COL7A1,positive
ADAMTS4,positive
CERKL,positive
ADAM28,positive
ADAM22,positive
EPHA6,positive
ADAM15,positive
GULP1,positive
STAB1,positive
FCRL3,positive
WIF1,positive
CDC25A,positive
TLR9,positive
APOL6,positive
CAPN10,positive
SLC26A6,positive
POM121L2,positive
ZBTB20,positive
FIGN,positive
ZNF184,positive
WNT7A,positive
USP4,positive
UNC5C,positive
TRAF1,positive
BTN3A2,positive
BTN3A1,positive
SPARCL1,positive
SMPD1,positive
SMARCC1,positive
SLC22A4,positive
SLCO3A1,positive
SLC17A3,positive
SLC17A1,positive
SIM1,positive
ST6GAL2,positive
SEMA6C,positive
SEMA3B,positive
ROBO2,positive
ROBO1,positive
AGBL1,positive
BTN2A2,positive
FXR1,positive
PTBP2,positive
RGS16,positive
PSAP,positive
PER3,positive
OLR1,positive
PIK3C2G,positive
NOTCH1,positive
MLEC,positive
MIR92A2,positive
MIR26B,positive
MIR206,positive
MIR198,positive
MIR181B1,positive
MIR181B2,positive
MIR24-2,positive
MIR92A1,positive
MIR24-1,positive
WWC1,positive
APOB,positive
HIPK3,positive
GYS2,positive
GMPS,positive
GLUD1,positive
GJA1,positive
ALDH5A1,positive
FSTL1,positive
DOC2A,positive
CPS1,positive
ABAT,positive
MYLIP,positive
INSIG2,positive
HDAC10,positive
CLSTN2,positive
ACVR1B,positive
ARID4B,positive
CAD,positive
UTRN,positive
SELE,positive
RGS8,positive
ARHGEF10,positive
PDC,positive
MTIF3,positive
OR2BH1P,positive
SHISA9,positive
OTOS,positive
TRAF3,positive
SPA17,positive
EIF2S2P7,positive
HIST1H2AH,positive
RPL7P9,positive
PLEKHA3P1,positive
TRIM26,positive
RPL26P9,positive
CNNM2,positive
NT5C2,positive
MAP1LC3P,positive
RPS17P8,positive
PIK3C2A,positive
HSPD1P6,positive
MMP16,positive
STT3A,positive
PTPRG,positive
CALN1,positive
CYCSP38,positive
RERE,positive
PTPRU,positive
SNX19,positive
RUNDC3B,positive
PLCB2,positive
AGAP1,positive
RPL34P22,positive
LSM1,positive
MPC2,positive
SLAMF1,positive
MCHR1,positive
SEMA3A,positive
GAPDH,positive
YWHAE,positive
GNAL,positive
CA2,positive
PINK1,positive
GRIK1,positive
SERPINA3,positive
B3GAT1,positive
CHRM4,positive
PRCP,positive
BMP1,positive
PCDHA4,positive
S100A10,positive
NPL,positive
IL18,positive
SLC32A1,positive
HSPA5,positive
VLDLR,positive
KMT2A,positive
OPA1,positive
TACR1,positive
STX1A,positive
HDAC1,positive
MTHFD1,positive
RIMS2,positive
LEPR,positive
NDOR1,positive
TSHZ1,positive
MS,positive
KIF21A,positive
MTRR,positive
GRM1,positive
JUN,positive
RIMS3,positive
ARHGEF11,positive
ITGA2B,positive
PCDH8,positive
GNPAT,positive
HAPLN2,positive
GPR50,positive
MDH1,positive
YWHAB,positive
SPTAN1,positive
DNAJB1,positive
LARS2,positive
ATP5A1,positive
SLIT3,positive
YWHAG,positive
LOC728637,positive
PTGDS,positive
SYT11,positive
HSPA12A,positive
ND5,positive
ACTG1,positive
NGFR,positive
APC,positive
EN1,positive
KIAA0513,positive
PRDX6,positive
CKB,positive
MSRB1,positive
ND1,positive
TRMT2A,positive
EXOSC6,positive
NOVA2,positive
ENDOU,positive
TDO2,positive
CFL1,positive
SORBS1,positive
RNH1,positive
CAMK2A,positive
GNB1,positive
TKT,positive
NDUFS3,positive
HSD17B10,positive
ACO2,positive
LANCL2,positive
NDUFB5,positive
TPPP3,positive
CSNK2A1,positive
FARSA,positive
CCT3,positive
SRSF6,positive
PGK1,positive
PKP4,positive
HIST1H3E,positive
EFHD2,positive
ATP6V0D1,positive
TTC9C,positive
PCDHA1,positive
LMNB2,positive
PURA,positive
ATP2B4,positive
OGG1,positive
PFKM,positive
RLBP1,positive
EIF4A2,positive
ATP5H,positive
MYL12B,positive
STRN,positive
VAPB,positive
CCBL2,positive
TUBB,positive
DNM1,positive
STUB1,positive
ATP6V1A,positive
SMAD5,positive
VIM,positive
TAGLN3,positive
CADM3,positive
HNRNPK,positive
TUBB2B,positive
MIR130B,positive
HSPD1,positive
HSP90AA1,positive
INA,positive
DES,positive
WDR1,positive
HNRNPU,positive
SIRPA,positive
NUCKS1,positive
TRIM3,positive
NDUFS6,positive
KIR3DL2,positive
ADH5,positive
PRDX2,positive
EPB41L3,positive
PCMT1,positive
CRY1,positive
GSPT1,positive
FUBP1,positive
PPP3CA,positive
HNRNPA0,positive
NONO,positive
RPL13,positive
TBCB,positive
EPB41L1,positive
ATCAY,positive
CLTB,positive
RPS10,positive
HP1BP3,positive
NSFL1C,positive
ACAN,positive
PRKCG,positive
NEFM,positive
AK1,positive
SH3GL2,positive
DNAJC6,positive
TGFBI,positive
PLEC,positive
APEX2,positive
MYO1D,positive
SRSF7,positive
AOC1,positive
ELK3,positive
PLB1,positive
EBPL,positive
PGC,positive
BHLHE22,positive
CYP2B6,positive
LZTS1,positive
SERPINA1,positive
GHR,positive
CA3,positive
TBC1D9,positive
DCTN3,positive
USH1G,positive
DYNC1H1,positive
DR1,positive
ERVW-1,positive
TNFRSF10A,positive
HLA-DQB2,positive
PHB2,positive
SST,positive
SERPINF2,positive
CALM2,positive
CALM3,positive
GAP43,positive
EMD,positive
ARSD,positive
SLC38A7,positive
PRL,positive
LMO3,positive
SLC43A2,positive
HTC2,positive
SNRNP70,positive
CES2,positive
CASP1,positive
TPSG1,positive
TPPP,positive
MYL4,positive
FXYD6-FXYD2,positive
PIP4K2C,positive
IFNG,positive
SULT1E1,positive
SKAP2,positive
DMD,positive
HTR1F,positive
CA1,positive
MAP3K8,positive
PIK3CD,positive
FZD9,positive
APP,positive
GSTK1,positive
TLX1NB,positive
FMR1,positive
PDE10A,positive
C3,positive
C22orf29,positive
DNASE1L3,positive
HSPA4,positive
CFP,positive
CA4,positive
ASIP,positive
MFGE8,positive
DGCR,positive
PSEN2,positive
HOXD13,positive
ASPA,positive
SMARCA2,positive
XBP1P1,positive
PDE4A,positive
NRSN1,positive
ACACA,positive
CD9,positive
A1CF,positive
ROPN1L,positive
TMED2,positive
PSD,positive
PISD,positive
PTPN5,positive
IK,positive
TYR,positive
ARTN,positive
HPGDS,positive
DYRK3,positive
IGF1,positive
OXT,positive
PIK3CG,positive
FBXL15,positive
ATG5,positive
MBD1,positive
CRP,positive
DLX4,positive
FABP7,positive
NR0B1,positive
CDK5R1,positive
IRS4,positive
NCS1,positive
SLC25A6,positive
NCAN,positive
INSR,positive
GCA,positive
ADCYAP1R1,positive
DLK1,positive
CCDC6,positive
DLGAP1,positive
APRT,positive
MGS,positive
CALR,positive
SYNM,positive
NOS2,positive
TAS2R38,positive
MAGI2,positive
F9,positive
DLG2,positive
KLF6,positive
PSG1,positive
PSMG1,positive
HCCS,positive
GMCL1,positive
OR2AG1,positive
CD4,positive
CCS,positive
MAPK1,positive
ERCC2,positive
ECT,positive
C21orf62,positive
NPS,positive
GMCL1P1,positive
PHOX2B,positive
MLN,positive
ABO,positive
SHANK3,positive
GSTM2,positive
CHR,positive
DLG3,positive
SGSM3,positive
RGS9BP,positive
MZB1,positive
KIDINS220,positive
POLD4,positive
PVR,positive
SLC25A4,positive
PDGFB,positive
BP1,positive
DAND5,positive
CREB1,positive
BACE1,positive
CRYZ,positive
POLE4,positive
PTCH1,positive
DUSP2,positive
SRY,positive
ADRA2B,positive
DGS2,positive
TPT1,positive
ITIH3,positive
MB21D1,positive
ATP6AP1,positive
TNFAIP1,positive
COX5A,positive
SIRT1,positive
GRIP1,positive
LEPROT,positive
AGER,positive
PAOX,positive
GRIN2C,positive
ACKR3,positive
STMN1,positive
CD99,positive
SLC12A6,positive
LINC00273,positive
SCGB1A1,positive
SLC25A20,positive
CUX1,positive
CDH13,positive
NDUFV1,positive
SERPINE1,positive
DLL1,positive
KAL1,positive
WARS,positive
HLA-C,positive
KRIT1,positive
PENK,positive
CALB2,positive
GMDS,positive
ACAD8,positive
MPP2,positive
MARK2,positive
CD14,positive
IFITM2,positive
LPAR2,positive
SEC14L2,positive
MAGI1,positive
GRP,positive
WASH6P,positive
GPR85,positive
DTNB,positive
CYSLTR2,positive
GC,positive
C10orf2,positive
CCKBR,positive
SAFB,positive
EEF1A2,positive
RTN3,positive
SLC12A5,positive
GINGF2,positive
F2R,positive
CSNK1E,positive
CAT,positive
LXN,positive
GLYAT,positive
ACP1,positive
CLEC10A,positive
CFB,positive
GSTA1,positive
ERDA1,positive
SCYL1,positive
PKN2,positive
OPRK1,positive
RARB,positive
DDX11,positive
THM,positive
CNPY3,positive
MOK,positive
KIF17,positive
CALCR,positive
GAA,positive
PPIG,positive
SMARCA1,positive
SLC6A8,positive
STON2,positive
CETN1,positive
EPHB2,positive
SYN1,positive
RARA,positive
SSD,positive
DBI,positive
HLA-DPB1,positive
HCAR3,positive
DBN1,positive
MNAT1,positive
REM1,positive
MTNR1A,positive
FOLH1,positive
PITX2,positive
NGF,positive
BAG1,positive
GRN,positive
